id,interests,graduated_courses,on_progress_courses,events_attended,challenge_joined,winning_apps
378554,,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),"Belajar Membangun LINE Chatbot,Belajar Membuat Aplikasi Kognitif,Belajar Membuat Augmented Reality dengan Lens Studio,Memulai Pemrograman Dengan C,Memulai Pemrograman Dengan Java,Source Code Management untuk Pemula",Dicoding Developer Coaching #30: Android | Mengenal Macam-Macam Software Design Pattern,,
378560,,,,Baparekraf Developer Day 2021,,
378563,,,,,,
378566,,,,,,
378569,,,Memulai Pemrograman Dengan Java,,,
378572,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378575,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378578,,,,,,
378581,,,,,,
378584,,Belajar Membuat Aplikasi Android untuk Pemula,"Belajar Fundamental Aplikasi Android,Belajar Membangun LINE Chatbot,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Kotlin,Menjadi Game Developer Expert,Pengantar Teknologi Blockchain,Source Code Management untuk Pemula",,,
378587,,,,,,
378590,,,,,,
378593,,,,,,
378596,,Belajar Membuat Aplikasi Android untuk Pemula,"Belajar Dasar Pemrograman Web,Belajar Fundamental Aplikasi Android,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Python,Source Code Management untuk Pemula",,,
378599,,"Memulai Pemrograman Dengan Python,Belajar Dasar Visualisasi Data,Belajar Machine Learning untuk Pemula",Belajar Membuat Aplikasi Android untuk Pemula,"BEKRAF Developer Day 2019 - Malang,Intro to Software Product Management,Tips Menulis Kode yang Konsisten di JavaScript: Metode ESLint!,Melihat Local Database di Android secara Live,Memulai Karir menjadi iOS Developer,IDCamp 2019 Virtual Graduation Day,Ayo Maju Bersama Komunitas Google di Indonesia,Baparekraf Developer Day 2020,Careerhacks: How to start?!",,
378602,,,,,,
378605,,,"Belajar Dasar Pemrograman Web,Belajar Membangun Prototype Chatbot Dengan LINE Bot Designer,Belajar Membuat Game dengan Construct 2,Belajar Membuat Game untuk Pemula,Belajar Prinsip Pemrograman SOLID,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Python,Pengantar Teknologi Blockchain,Source Code Management untuk Pemula","Lintasarta Developer Talk Online Series #3 - Boost Android App using Android Jetpack,ConstraintLayout: Handle with Care,Lintasarta Developer Talk Online Series #4 - Best Practices and Lessons Learned  as a Developer,Lintasarta Developer Talk Online Series #5 - SQlite vs Room",,
378608,,,,,,
378611,,,Belajar Membuat Game untuk Pemula,,,
378614,,,"Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Swift",,,
378617,,"Belajar Dasar Pemrograman Web,Memulai Pemrograman Dengan Dart","Belajar Dasar Visualisasi Data,Belajar Membuat Aplikasi Android untuk Pemula,Belajar Prinsip Pemrograman SOLID,Membangun Progressive Web Apps,Memulai Pemrograman Dengan Kotlin","Tips Menulis Kode yang Konsisten di JavaScript: Metode ESLint!,IDCamp 2019 Virtual Graduation Day,Baparekraf Developer Day 2020",,
378620,,"Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Kotlin,Belajar Membuat Aplikasi Flutter untuk Pemula,Memulai Pemrograman Dengan Dart,Belajar Fundamental Aplikasi Flutter","Belajar Android Jetpack Pro,Belajar Dasar Pemrograman Web,Belajar Membuat Aplikasi Kognitif,Belajar Membuat Game untuk Pemula,Memulai Pemrograman Dengan Python,Menjadi Game Developer Expert","BEKRAF Developer Day 2019 - Malang,Baparekraf Developer Day 2020,Cara Menjadi Android Developer Expert,Menggunakan NoSQL Database di Aplikasi Android,Jetpack Compose untuk UI Masa Depan,Jetpack Compose untuk UI Masa Depan - Bagian 2","IDCamp Android Developer Challenge : Aplikasi Liburan Akhir Tahun,Create Any Android/Web App using Material Design",
378623,,Belajar Prinsip Pemrograman SOLID,"Belajar Dasar Google Cloud,Belajar Dasar Pemrograman Web,Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula,Belajar Membuat Aplikasi iOS untuk Pemula,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Kotlin,Memulai Pemrograman Dengan Swift,Menjadi Android Developer Expert","Lean-Agile Mindset,Membangun Mobile Backend Menggunakan Kotlin,Scrum Introduction,Teknik Pendekatan Data supaya Pelanggan Makin Setia,AWS X Dicoding LIVE : Storage dan Database di AWS",,
378626,,,,,,
378629,,"Belajar Membuat Aplikasi Android untuk Pemula,Belajar Dasar Pemrograman Web,Belajar Membuat Aplikasi Flutter untuk Pemula,Memulai Pemrograman Dengan Dart","Belajar Dasar Visualisasi Data,Belajar Fundamental Aplikasi Android,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Memulai Pemrograman Dengan C,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Kotlin,Pengenalan Data pada Pemrograman (Data 101),Pengenalan ke Logika Pemrograman (Programming Logic 101)","Lintasarta Developer Talk Online Series #2 - Simple Animation on Android,Lintasarta Developer Talk Online Series #3 - Boost Android App using Android Jetpack,Lintasarta Developer Talk Online Series #5 - SQlite vs Room,Build Your Beautiful Apps Using SwiftUI,Membuat Model Machine Learning tanpa Coding,Cara Mudah Berkolaborasi dengan Github",,
378632,,,Memulai Pemrograman Dengan Java,,,
378635,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378638,,,Memulai Pemrograman Dengan Java,,,
378641,,,"Belajar Membuat Aplikasi Android untuk Pemula,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Memulai Pemrograman Dengan Dart",,,
378644,,,"Belajar Dasar Pemrograman Web,Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Kotlin,Pengantar Teknologi Blockchain","""Android Developer Roadmap : Cara menjadi Android Developer"" - Online Meetup #1 Android Dev Kalsel,Baparekraf Developer Day 2020",,
378647,,,Belajar Membuat Augmented Reality dengan Lens Studio,,,
378650,,,"Belajar Dasar Visualisasi Data,Belajar Membuat Aplikasi Android untuk Pemula,Belajar Membuat Game dengan Construct 2,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Python,Menjadi AWS Solutions Architect Associate",,,
378653,,,,Android Developer Day,,
378656,,,,,,
378659,,Belajar Dasar Visualisasi Data,"Bangkit Application Screening,Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Kotlin,Simulasi Ujian TensorFlow Developer Certificate","Baparekraf Developer Day 2020,Cara Menjadi Android Developer Expert,Lean-Agile Mindset,GITS Webinar: Implementasi REST API di iOS Menggunakan Alamofire dan SwiftyJSON (bersama iOS Developer GITS Indonesia),Research and Applied Artificial Intelligence and Data Mining,Dicoding Developer Coaching #2: Android | Tipe Data dan Collection pada Kotlin,Dicoding Developer Coaching #3: Android | Perulangan dan Percabangan pada Kotlin,Uxer Experience  (UX) Design Research,Android and Kotlin Developer Talk Indonesia 2021 Day 1,IDCamp Virtual Summit 2021",,
378662,,,,Android Developer Day,,
378665,,,,Android Developer Day,,
378668,,,Belajar Membuat Aplikasi Android untuk Pemula,Intro Architecture Pattern Android MVP (Model-View-Presenter),,
378671,,,,,,
378674,,,"Belajar Membuat Game dengan Construct 2,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Python",,,
378677,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378680,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378683,,,,Android Developer Day,,
378686,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378689,,,,,,
378692,,,"Belajar Fundamental Aplikasi Android,Kotlin Android Developer Expert,Source Code Management untuk Pemula",,,
378695,"Android,Web",Belajar Prinsip Pemrograman SOLID,"Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Java",Android Developer Day,,
